"path";"n_paragraphs";"selected_paragraph";"paragraph_classification";"first)words";"last_words";"note"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/prot_1900_adeln_lll/prot_1900_adeln_lll-0145";"9";"7.0";"note";"Då denna proposition";"grunder böra tillämpas.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/prot_1900_borgare_I/prot_1900_borgare_I-0107";"7";"2.0";"note";"Vid öfvervägandet af";"närmast fyller dessa förutsättningar.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/prot_1900_borgare_I/prot_1900_borgare_I-0194";"9";"7.0";"note";"Vid anstäld votering";"formulerades sålunda:";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/prot_1900_borgare_II/prot_1900_borgare_II-0667";"";"";"";"";"";"REGISTER"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/ptk_1900_papisto_I/ptk_1900_papisto_I-0164";"7";"7.0";"seg";"Puolestani katsoisin";"maksettavaksi ainoastaan";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/ptk_1900_papisto_I/ptk_1900_papisto_I-0357";"3";"3.0";"seg";"Tulee sitten asiassa";"mitä juristien kannalta";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/ptk_1900_papisto_II/ptk_1900_papisto_II-0386";"11";"11.0";"seg";"Tässä 2 §:ssä";"saamiseksi ja sanotaan";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/ptk_1900_talonpojat_I/ptk_1900_talonpojat_I-0370";"5";"4.0";"seg";"Kannatan edusm. Aulinin";"pykälän pysyttämistä muuttamattomana.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/ptk_1900_talonpojat_II/ptk_1900_talonpojat_II-0248";"8";"7.0";"seg";"Koska tämä yhteensovitus";"asiasta saataisiin säätypäätös.";"signature"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/ptk_1900_talonpojat_II/ptk_1900_talonpojat_II-0491";"6";"3.0";"seg";"Propositionen bestämmer endast";"uteslutas från betänkandet.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/prot_1904-1905_adeln_I/prot_1904-1905_adeln_I-0147";"11";"11.0";"note";"Emellertid är vår";"vara nödig. Arbetarklas-";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/prot_1904-1905_adeln_I/prot_1904-1905_adeln_I-0393";"7";"3.0";"";"";"";"very difficult"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/prot_1904-1905_adeln_I/prot_1904-1905_adeln_I-0437";"7";"4.0";"note";"Efter behörig anmälan";"Nyslott-Elisenvaara jernvägsbyggnad.";"signature"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/prot_1904-1905_borgare_I/prot_1904-1905_borgare_I-0313";"14";"14.0";"";"";"";"difficult: tables!"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/prot_1904-1905_borgare_I/prot_1904-1905_borgare_I-0328";"6";"1.0";"seg";"för evärdeliga tider";"öfvertygelse, oskattbara förmån.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/prot_1904-1905_borgare_I/prot_1904-1905_borgare_I-0466";"7";"4.0";"note";"Ruotsissa, josta meillä";"avun jäsentä kohden.";"petition text read"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/ptk_1904-1905_papisto_/ptk_1904-1905_papisto_-0349";"3";"3.0";"seg";"För min egen del";"sagdt onödigt att";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/ptk_1904-1905_papisto_/ptk_1904-1905_papisto_-0417";"2";"2.0";"seg";"Mutta jätän nämä";"kerran vertauksiin turvaudutaan,";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/ptk_1904-1905_papisto_/ptk_1904-1905_papisto_-0802";"2";"2.0";"seg";"För min del";"aflägsnas för att han";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/ptk_1904-1905_porvaristo_I/ptk_1904-1905_porvaristo_I-0065";"5";"1.0";"seg";"Minä pyydän myös";"eikä työlle eduksi.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/ptk_1904-1905_porvaristo_II/ptk_1904-1905_porvaristo_II-0374";"5";"2.0";"seg";"Samassa kun kaikin";"tätä kaipaamaani kirjavuutta.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/ptk_1904-1905_porvaristo_II/ptk_1904-1905_porvaristo_II-0473";"5";"1.0";"seg";"förmiddagens plenum";"till behandling.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/ptk_1904-1905_talonpojat_II/ptk_1904-1905_talonpojat_II-0163";"6";"2.0";"note";"Lisäsyynä asian saattamiseksi";"mitä keinoja tahansa.";"signatures / petition"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/ptk_1904-1905_talonpojat_II/ptk_1904-1905_talonpojat_II-0192";"4";"2.0";"seg";"Täällä on asian";"Hallituksen toimiin vetosi.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1904-1905/ptk_1904-1905_talonpojat_II/ptk_1904-1905_talonpojat_II-0399";"3";"1.0";"seg";"Samalla käytän tilaisuutta";"vaan päinvastoin.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/prot_1905-1906_adeln_II/prot_1905-1906_adeln_II-0093";"3";"3.0";"seg";"Då det emellertid";"öfver tvetydiga kring-";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/prot_1905-1906_adeln_II/prot_1905-1906_adeln_II-0128";"11";"11.0";"note";"Genom att";"frågavarande afseende.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/prot_1905-1906_adeln_II/prot_1905-1906_adeln_II-0531";"11";"1.0";"note";"Hufvudman, som sjelf";"fullmäktig antaga.";"difficult"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/prot_1905-1906_borgare_I/prot_1905-1906_borgare_I-0018";"8";"7.0";"seg";"Korkeasti kunnioitettu";"Hyvinarvoisa porvarissääty!";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/prot_1905-1906_borgare_II/prot_1905-1906_borgare_II-0033";"7";"7.0";"seg";"Armollisen esityksen ensimäisen";"""eduskuntatalo"", ""duskuntaarkisto"" j. n. e.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/prot_1905-1906_borgare_II/prot_1905-1906_borgare_II-0612";"7";"4.0";"seg";"Jag ber att få";"den gånga tiden.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/prot_1905-1906_papisto_I/prot_1905-1906_papisto_I-0349";"4";"3.0";"seg";"Mitä sitte eri";"ollaan eri mieltä.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/prot_1905-1906_papisto_I/prot_1905-1906_papisto_I-0552";"4";"3.0";"seg";"Omasta puolestani";"kansallemme suurta siunausta.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/ptk_1905-1906_papisto_II/ptk_1905-1906_papisto_II-0158";"14";"11.0";"note";"Valokunnan";"puolesta";"difficult"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/ptk_1905-1906_porvaristo_I/ptk_1905-1906_porvaristo_I-0041";"7";"6.0";"note";"Viime täysi-istunnossa";"näihin valiokuntiin.";"two columns!"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/ptk_1905-1906_porvaristo_II/ptk_1905-1906_porvaristo_II-0197";"3";"1.0";"seg";"håll, att förpassning";"Öhman redan anfört.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/ptk_1905-1906_porvaristo_II/ptk_1905-1906_porvaristo_II-0585";"";"";"";"";"";"REGISTER"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/ptk_1905-1906_talonpojat_/ptk_1905-1906_talonpojat_-0027";"7";"1.0";"seg";"meidän rakennettava Suomen";"Suokas, Torppa ja Wärri.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/ptk_1905-1906_talonpojat_/ptk_1905-1906_talonpojat_-0722";"4";"1.0";"seg";"§:t selvittävät";"jahden säädyn päätökset.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1905-1906/ptk_1905-1906_talonpojat_/ptk_1905-1906_talonpojat_-1373";"8";"5.0";"seg";"Paljon on minulta";"ja anteeksi antaneet.";""
